Gaia DR2 3107267177757848576|TIC 280304863|CoRoT-7
TIC 122376177|Kepler-24|Gaia DR2 2052823535171095296
TIC 391880567|Gaia DR2 4287832775526476800|CoRoT-8
CoRoT-9|Gaia DR2 4285571629874670080|TIC 130162252
TIC 454259409|Gaia DR2 5201360671411974912|CT Cha
TIC 903484062|DP Leo|Gaia DR2 3971777500966832384
Gaia DR2 5164707970261630080|HIP 16537|eps Eri|TIC 118572803|HD 22049
eps Tau|HD 28305|Gaia DR2 48026706557926528|TIC 17554529|HIP 20889
HD 89484|gam1 Leo|HIP 50583 A
gam Cep|HIP 116727|TIC 367912480|Gaia DR2 2281778105591104768|HD 222404
TIC 467929202|GJ 1214|Gaia DR2 4393265392167891712
HIP 1292|GJ 3021|Gaia DR2 4634528720388462592|HD 1237|TIC 290543478
GJ 317|TIC 118608254|Gaia DR2 5701750711020088192
GJ 3634|Gaia DR2 5452743423618768000|TIC 49064384
HIP 56528|TIC 57654763|GJ 433|Gaia DR2 3478160727866058368
TIC 138819293|HIP 57087|GJ 436|Gaia DR2 4017860992519744384
GJ 649|Gaia DR2 4572835535272064768|HIP 83043|TIC 236743275
Gaia DR2 5975663354131618304|TIC 154385809|GJ 667 C
TIC 218263393|Gaia DR2 5951824121022278144|GJ 674|HIP 85523
TIC 369021303|HIP 85647|GJ 676 A|Gaia DR2 5925209583053212800
TIC 139754153|HD 204961|GJ 832|HIP 106440|Gaia DR2 6562924609150908416
TIC 248027247|HIP 109388|Gaia DR2 2627117287488522240|GJ 849
TIC 450102450|Gaia DR2 3288082758293022848|HIP 22627|GJ 179
TIC 36853511|HIP 74995|Gaia DR2 6322070093095493504|GJ 581
GJ 86|HIP 10138|Gaia DR2 4937000898855759104|TIC 220017951|HD 13445
Gaia DR2 2603090003484152064|GJ 876|HIP 113020|TIC 188580272
TIC 442623945|Gaia DR2 6011522757643074304|GQ Lup
Gaia DR2 6244440552088537600|GSC 06214-00210|TIC 50175254
Gaia DR2 1499514786891168640|HAT-P-12|TIC 198108326
HAT-P-13|Gaia DR2 1014520826353577088|TIC 20096620
TIC 101721385|Gaia DR2 1340497608486742400|HAT-P-14
Gaia DR2 179498266829041664|HAT-P-15|TIC 353459965
TIC 191284318|Gaia DR2 381592313648387200|HAT-P-16
TIC 266593143|Gaia DR2 1849786481031300608|HAT-P-17
Gaia DR2 2078697552035948800|TIC 272944990|Kepler-123
Kepler-769|TIC 137815803|Gaia DR2 2051933343073295232
Gaia DR2 1334573817793362560|TIC 21744120|HAT-P-18
Gaia DR2 365426679516816512|HAT-P-19|TIC 267650535
Gaia DR2 1928431764627661440|HAT-P-1|TIC 346338552
TIC 26826078|Gaia DR2 869913435026514688|HAT-P-20
Gaia DR2 770622651659107712|HAT-P-21|TIC 17993892
Gaia DR2 846946629987527168|HD 233731|HAT-P-22|TIC 252479260
TIC 305243225|HAT-P-23|Gaia DR2 1808938730710633984
Gaia DR2 3167323052618369408|HAT-P-24|TIC 440777904
HAT-P-25|TIC 35022727|Gaia DR2 111322601672419712
Gaia DR2 3668036348641580288|HAT-P-26|TIC 420779000
Gaia DR2 1159336403336463872|TIC 461239485|HAT-P-27
HAT-P-28|Gaia DR2 363702817083391232|TIC 53728859
Gaia DR2 359058441314838528|TIC 250707118|HAT-P-29
TIC 39903405|HIP 80076|HAT-P-2|HD 147506|Gaia DR2 1380825667768742144
TIC 455135327|Gaia DR2 3096441729861716224|HAT-P-30
Gaia DR2 4583004815239650176|HAT-P-31|TIC 320798691
HAT-P-32|TIC 292152376|Gaia DR2 356348286886230272
Gaia DR2 893550942158776832|TIC 239154970|HAT-P-33
HAT-P-34|Gaia DR2 1810218734055374720|HD 351766|TIC 278348461
Gaia DR2 2119222252094710912|TIC 123206821|Kepler-1735
Gaia DR2 3094733088793018240|HAT-P-35|TIC 455096220
TIC 373693175|HAT-P-36|Gaia DR2 1541532207133249920
Gaia DR2 2133946843094378752|HAT-P-37|TIC 267572272
HAT-P-3|Gaia DR2 1510191594552968832|TIC 311035838
TIC 138294130|HAT-P-4|Gaia DR2 1291120362349158016
Gaia DR2 4606030169272920320|TIC 76419763|HAT-P-5
HAT-P-6|TIC 176899385|Gaia DR2 1925321658546436352
TIC 188876052|HAT-P-8|Gaia DR2 1891507552824189568
Gaia DR2 898130030131443584|TIC 371234684|HAT-P-9
HIP 56508|Gaia DR2 3979226627820659072|TIC 156942082|HD 100655
Kepler-765|TIC 164456891|Gaia DR2 2107617903296016768
HIP 56572|Gaia DR2 3786035184916139136|TIC 49427341|HD 100777
Gaia DR2 4716158250340258944|TIC 231836962|HD 10180|HIP 7599
TIC 267399515|HIP 57172|Gaia DR2 5341787994441794176|HD 101930
HIP 57291|TIC 267519701|Gaia DR2 5341673851394297600|HD 102117
TIC 397024052|HD 102195|HIP 57370|Gaia DR2 3799626935341796096
TIC 63130782|Kepler-763|Gaia DR2 2128369501647063808
HD 102272|Gaia DR2 3923915248709126144|HIP 57428|TIC 82605074
HIP 57467|TIC 325254372|Gaia DR2 3895948101012579456|HD 102329
TIC 454082369|Gaia DR2 5381537023379295232|HIP 57443|HD 102365
HIP 57820|HD 102956|TIC 137810576|Gaia DR2 845335158256083584
HIP 57931|HD 103197|Gaia DR2 5370827127297364480|TIC 400806831
HD 104067|HIP 58451|Gaia DR2 3494677900774838144|TIC 428673146
Gaia DR2 1693159194226600192|TIC 160224839|HD 104985|HIP 58952
TIC 397558558|Gaia DR2 3905603054348141440|HIP 59610|HD 106252
HD 106270|TIC 176910071|Gaia DR2 3581292685166588672|HIP 59625
HIP 7978|TIC 229137615|HD 10647|Gaia DR2 4912580642524184960
HIP 8159|Gaia DR2 95652018353917056|TIC 456905162|HD 10697
HD 107148|TIC 66666079|Gaia DR2 3693358861640279296|HIP 60081
HIP 60644|Gaia DR2 6053512007260865280|HD 108147|TIC 450491293
Gaia DR2 3952692457305436800|HD 108863|TIC 371621400|HIP 61020
HIP 61028|TIC 371621238|Gaia DR2 3958951942642583936|HD 108874
TIC 154549250|HD 109246|Gaia DR2 1692267077979468544|HIP 61177
TIC 144289338|HIP 61595 A|HD 109749|Gaia DR2 6147000074988843264
HIP 61740|TIC 32448045|Gaia DR2 3676091134604409728|HD 110014
HIP 62534|Gaia DR2 5855730584310531200|HD 111232|TIC 329649885
TIC 422214062|HIP 63833|HD 113538|Gaia DR2 6080301367488384896
TIC 124306858|Gaia DR2 6166971574132849792|HIP 64295|HD 114386
TIC 124401411|Gaia DR2 6180035765135232128|HD 114729|HIP 64459
Gaia DR2 3684934540986187776|TIC 292113181|HD 114783|HIP 64457
Gaia DR2 5137855525488932864|HD 11506|TIC 266680498|HIP 8770
HD 116029|HIP 65117|Gaia DR2 1446584503287858560|TIC 305837711
HIP 65808|TIC 405501056|Gaia DR2 6166183842771027328|HD 117207
Gaia DR2 6083860761505899904|TIC 243194645|HIP 66047|HD 117618
TIC 286923464|HIP 66192|HD 118203|Gaia DR2 1560420854826284928
Gaia DR2 2462426800883134336|TIC 24978373|HIP 9094|HD 11964
Gaia DR2 4697508196671120000|HIP 8928|TIC 232074535|HD 11977
HIP 68162|HD 121504|TIC 208844024|Gaia DR2 5872266689452551552
HD 125595|HIP 70170|TIC 180030300|Gaia DR2 6104435819513399168
HIP 70123|Gaia DR2 6296703260330865536|TIC 347909637|HD 125612
Gaia DR2 2080562667352233728|Kepler-744|TIC 272597130
HIP 70695|TIC 333459486|Gaia DR2 5898641087150340224|HD 126525
HD 126614|TIC 287973473|HIP 70623|Gaia DR2 3641697998570813952
Gaia DR2 105332908999068032|HD 12661|TIC 118268680|HIP 9683
HD 128311|Gaia DR2 1176209886733406592|TIC 349606708|HIP 71395
TIC 258186667|HD 129445|HIP 72203|Gaia DR2 5800013451037514496
Gaia DR2 3650718804281798912|HD 130322|TIC 189694184|HIP 72339
Gaia DR2 1236429004715336576|HD 131496|HIP 72845|TIC 267365022
TIC 273129679|Gaia DR2 2086366370762352640|Kepler-764
HD 13189|TIC 63564248|HIP 10085|Gaia DR2 325494788018024576
TIC 309808219|HD 132406|HIP 73146|Gaia DR2 1594127865540229888
HIP 73261 A|TIC 284680749|Gaia DR2 1585765117538284800
Gaia DR2 5876112300125320448|HIP 74273|TIC 454901855|HD 134060
HIP 74500|TIC 61397572|HD 134987|Gaia DR2 6226694571859532800
TIC 136916387|Gaia DR2 5902750168276592256|HIP 75181|HD 136352
Kepler-112|TIC 272943597|Gaia DR2 2078722600285671936
TIC 1101862696|Gaia DR2 1392396172224832896|HIP 74961|HD 136418
Gaia DR2 5778418870846853888|TIC 407090552|HD 137388|HIP 76351
HIP 10301|Gaia DR2 4743692151804240896|TIC 220022156|HD 13808
HIP 10626|Gaia DR2 351537889154226816|TIC 292851928|HD 13931
Gaia DR2 1597757387783227008|TIC 224312054|HD 139357|HIP 76311
HD 141937|HIP 77740|TIC 437430894|Gaia DR2 6248534171318085376
HIP 79242|TIC 290493086|Gaia DR2 5768159705804908800|HD 142022 A
HIP 77783|TIC 172607132|Gaia DR2 1193193836691820032|HD 142245
HD 142415|TIC 342041655|HIP 78169|Gaia DR2 5833117718964892928
Gaia DR2 2085626983551485440|TIC 269357457|Kepler-267
HD 142|HIP 522|TIC 389757979|Gaia DR2 4976894960284258048
HIP 78521|Gaia DR2 5991331601015519104|TIC 255480497|HD 143361
TIC 68165288|Gaia DR2 6042491773948918656|HIP 79346|HD 145377
HIP 79219|Gaia DR2 1315900158983769472|HD 145457|TIC 236339228
TIC 37748347|HIP 1499|Gaia DR2 2430102808294101760|HD 1461
TIC 350083732|HIP 80250|Gaia DR2 5831054382288870912|HD 147018
HD 147513|HIP 80337|Gaia DR2 6018047019138644480|TIC 350673608
HIP 80680|Gaia DR2 5942178414758660864|TIC 225317852|HD 148156
TIC 413853880|Gaia DR2 4330532859324207360|HD 148427|HIP 80687
HD 149026|Gaia DR2 1331356474971716992|TIC 255930614|HIP 80838
TIC 281520119|HD 149143|Gaia DR2 4432401099808805888|HIP 81022
HIP 1547|TIC 303193565|Gaia DR2 2768172019308167296|HD 1502
Gaia DR2 5939949051801737472|TIC 246835467|HD 152079|HIP 82632
TIC 353181458|Gaia DR2 4448227641977175296|HD 152581|HIP 82651
HIP 83547|Gaia DR2 5965406010180880640|HD 153950|TIC 124165580
Gaia DR2 1359938520253565952|TIC 198562505|HIP 83389|HD 154345
TIC 380086262|HD 154672|Gaia DR2 5917231492323978880|HIP 83983
TIC 173552927|HIP 84069|Gaia DR2 5917212800626605824|HD 154857
Gaia DR2 1334643739861016832|HD 155358|TIC 21897561|HIP 83949
TIC 232606278|HD 156279|HIP 84171|Gaia DR2 1631084478574318976
HD 156411|Gaia DR2 5950535424666050304|HIP 84787|TIC 412409409
Gaia DR2 4575374857376398976|TIC 257715493|HD 156668|HIP 84607
Gaia DR2 4122343906051101184|HD 156846|HIP 84856|TIC 75673519
HIP 85294|TIC 313709116|HD 158038|Gaia DR2 4574156834713113600
TIC 248320609|Gaia DR2 5955841736510622208|HIP 86375|HD 159868
TIC 362661163|HD 160691|HIP 86796|Gaia DR2 5945941905576552064
Gaia DR2 2495335115182966016|HD 16141|HIP 12048|TIC 251109533
TIC 422922274|HD 16175|Gaia DR2 340028235795364864|HIP 12191
Gaia DR2 5957920668132624256|TIC 367987991|HD 162020|HIP 87330
HIP 87601|Gaia DR2 1418519292895059840|HD 163607|TIC 232620788
HD 16417|TIC 122555698|HIP 12186|Gaia DR2 5062172841616745856
TIC 382764222|HD 164509|HIP 88268|Gaia DR2 4275421969292868224
Gaia DR2 4062446910648807168|HD 164604|TIC 406317882|HIP 88414
TIC 159019691|HIP 88348|Gaia DR2 4582680493669880704|HD 164922
TIC 353988778|HD 167042|HIP 89047|Gaia DR2 2149564787289902848
HIP 89844|Gaia DR2 4157584215800708736|HD 168443|TIC 16465196
HIP 90004|TIC 18097734|Gaia DR2 4153637759337630720|HD 168746
TIC 37763102|HIP 1692|HD 1690|Gaia DR2 2430036837596487424
TIC 53134037|Gaia DR2 4048037707717866880|HIP 90485|HD 169830
HIP 90593|HD 170469|Gaia DR2 4484013343859055744|TIC 320362897
TIC 302317605|Gaia DR2 438865809918353280|HD 17092
Kepler-762|TIC 159725995|Gaia DR2 2129158710476149376
HD 171028|Gaia DR2 4477318138371083008|TIC 321030607
HD 171238|HIP 91085|Gaia DR2 4048636941542753152|TIC 228217280
TIC 302773669|HD 17156|HIP 13192|Gaia DR2 545560867790611072
HIP 91852|TIC 157951225|Gaia DR2 2096524140211914368|HD 173416
TIC 467966544|HIP 93281|HD 175167|Gaia DR2 6421118739093252224
TIC 227196910|HD 175541|Gaia DR2 4281180283478682496|HIP 92895
TIC 265052133|Gaia DR2 2035963417721248128|HD 177830|HIP 93746
Gaia DR2 2044341077844180736|HIP 94075|TIC 42812945|HD 178911 B
HD 179079|HIP 94256|Gaia DR2 4261265619668314624|TIC 48917782
Gaia DR2 6770313530317154560|HIP 94645|TIC 2288734|HD 179949
TIC 11782681|HIP 94951|Gaia DR2 6770721346051487872|HD 180902
HIP 95124|Gaia DR2 6770761168986617600|TIC 12192000|HD 181342
TIC 410399074|HIP 95467|Gaia DR2 6434153380720177664|HD 181433
